name,file,containing_class,containing_class_file,target_ids,target_ids_file
org.kie.dmn.core.compiler.DecisionServiceCompiler.compileNode,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\compiler\DecisionServiceCompiler.java,org.kie.dmn.core.compiler.DecisionServiceCompiler,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\compiler\DecisionServiceCompiler.java,org.kie.dmn.core.compiler.DMNCompilerImpl,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\compiler\DMNCompilerImpl.java
org.kie.dmn.feel.lang.ast.QuantifiedExpressionNode.createQuantifiedExpressionIterationContext,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\lang\ast\QuantifiedExpressionNode.java,org.kie.dmn.feel.lang.ast.QuantifiedExpressionNode,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\lang\ast\QuantifiedExpressionNode.java,org.kie.dmn.feel.lang.ast.IterationContextNode,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\lang\ast\IterationContextNode.java
org.kie.dmn.feel.parser.feel11.ASTBuilderVisitor.getFunctionName,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\parser\feel11\ASTBuilderVisitor.java,org.kie.dmn.feel.parser.feel11.ASTBuilderVisitor,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\parser\feel11\ASTBuilderVisitor.java,org.kie.dmn.feel.lang.ast.BaseNode,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\lang\ast\BaseNode.java
org.kie.dmn.feel.parser.feel11.ASTBuilderVisitor.buildNotCall,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\parser\feel11\ASTBuilderVisitor.java,org.kie.dmn.feel.parser.feel11.ASTBuilderVisitor,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\parser\feel11\ASTBuilderVisitor.java,org.kie.dmn.feel.lang.ast.BaseNode,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\lang\ast\BaseNode.java
org.kie.dmn.feel.parser.feel11.ASTBuilderVisitor.buildNotCall,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\parser\feel11\ASTBuilderVisitor.java,org.kie.dmn.feel.parser.feel11.ASTBuilderVisitor,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\parser\feel11\ASTBuilderVisitor.java,org.kie.dmn.feel.lang.ast.ListNode,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\lang\ast\ListNode.java
org.kie.dmn.feel.codegen.feel11.ASTUnaryTestTransform.rewriteToUnaryTestExpr,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\ASTUnaryTestTransform.java,org.kie.dmn.feel.codegen.feel11.ASTUnaryTestTransform,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\ASTUnaryTestTransform.java,org.kie.dmn.feel.lang.ast.BaseNode,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\lang\ast\BaseNode.java
org.kie.dmn.feel.codegen.feel11.ASTUnaryTestTransform.rewriteToUnaryEqInExpr,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\ASTUnaryTestTransform.java,org.kie.dmn.feel.codegen.feel11.ASTUnaryTestTransform,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\ASTUnaryTestTransform.java,org.kie.dmn.feel.lang.ast.BaseNode,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\lang\ast\BaseNode.java
org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor.isNumericConstant,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,org.kie.dmn.feel.codegen.feel11.DirectCompilerResult,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerResult.java
org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor.createUnaryTestExpression,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,org.kie.dmn.feel.codegen.feel11.DirectCompilerResult,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerResult.java
org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor.createRuntimeUnaryTestExpression,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,org.kie.dmn.feel.codegen.feel11.DirectCompilerResult,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerResult.java
org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor.createWildcardUnaryTestExpression,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,org.kie.dmn.feel.codegen.feel11.DirectCompilerResult,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerResult.java
org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor.buildFunctionCall,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,org.kie.dmn.feel.codegen.feel11.DirectCompilerResult,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerResult.java
org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor.telescopePathAccessor,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,org.kie.dmn.feel.codegen.feel11.DirectCompilerResult,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerResult.java
org.kie.dmn.feel.runtime.decisiontables.DecisionTableImpl.hitToOutput,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\runtime\decisiontables\DecisionTableImpl.java,org.kie.dmn.feel.runtime.decisiontables.DecisionTableImpl,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\runtime\decisiontables\DecisionTableImpl.java,org.kie.dmn.feel.runtime.decisiontables.DTDecisionRule,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\runtime\decisiontables\DTDecisionRule.java
org.kie.pmml.pmml_4_2.model.PMML4ModelFactory.getModel,kie-pmml\src\main\java\org\kie\pmml\pmml_4_2\model\PMML4ModelFactory.java,org.kie.pmml.pmml_4_2.model.PMML4ModelFactory,kie-pmml\src\main\java\org\kie\pmml\pmml_4_2\model\PMML4ModelFactory.java,org.kie.pmml.pmml_4_2.model.mining.MiningSegmentation,kie-pmml\src\main\java\org\kie\pmml\pmml_4_2\model\mining\MiningSegmentation.java
org.drools.core.xml.BaseAbstractHandler.emptyAttributeCheck,drools-core\src\main\java\org\drools\core\xml\BaseAbstractHandler.java,org.drools.core.xml.BaseAbstractHandler,drools-core\src\main\java\org\drools\core\xml\BaseAbstractHandler.java,org.drools.core.xml.ExtensibleXmlParser,drools-core\src\main\java\org\drools\core\xml\ExtensibleXmlParser.java
org.drools.core.xml.BaseAbstractHandler.emptyContentCheck,drools-core\src\main\java\org\drools\core\xml\BaseAbstractHandler.java,org.drools.core.xml.BaseAbstractHandler,drools-core\src\main\java\org\drools\core\xml\BaseAbstractHandler.java,org.drools.core.xml.ExtensibleXmlParser,drools-core\src\main\java\org\drools\core\xml\ExtensibleXmlParser.java
org.drools.core.base.mvel.MVELCompilationUnit.replaceDeclaration,drools-core\src\main\java\org\drools\core\base\mvel\MVELCompilationUnit.java,org.drools.core.base.mvel.MVELCompilationUnit,drools-core\src\main\java\org\drools\core\base\mvel\MVELCompilationUnit.java,org.drools.core.rule.Declaration,drools-core\src\main\java\org\drools\core\rule\Declaration.java
org.drools.core.base.evaluators.EvaluatorRegistry.getEvaluator,drools-core\src\main\java\org\drools\core\base\evaluators\EvaluatorRegistry.java,org.drools.core.base.evaluators.EvaluatorRegistry,drools-core\src\main\java\org\drools\core\base\evaluators\EvaluatorRegistry.java,org.drools.core.base.evaluators.Operator,drools-core\src\main\java\org\drools\core\base\evaluators\Operator.java
org.drools.core.base.evaluators.EvaluatorRegistry.getEvaluator,drools-core\src\main\java\org\drools\core\base\evaluators\EvaluatorRegistry.java,org.drools.core.base.evaluators.EvaluatorRegistry,drools-core\src\main\java\org\drools\core\base\evaluators\EvaluatorRegistry.java,org.drools.core.base.evaluators.Operator,drools-core\src\main\java\org\drools\core\base\evaluators\Operator.java
org.drools.core.base.ClassFieldAccessorCache.getClassObjectType,drools-core\src\main\java\org\drools\core\base\ClassFieldAccessorCache.java,org.drools.core.base.ClassFieldAccessorCache,drools-core\src\main\java\org\drools\core\base\ClassFieldAccessorCache.java,org.drools.core.base.ClassObjectType,drools-core\src\main\java\org\drools\core\base\ClassObjectType.java
org.drools.core.base.ClassFieldAccessorCache.getAccessorKey,drools-core\src\main\java\org\drools\core\base\ClassFieldAccessorCache.java,org.drools.core.base.ClassFieldAccessorCache,drools-core\src\main\java\org\drools\core\base\ClassFieldAccessorCache.java,org.drools.core.base.ClassFieldReader,drools-core\src\main\java\org\drools\core\base\ClassFieldReader.java
org.drools.core.base.ClassFieldAccessorCache.getAccessorKey,drools-core\src\main\java\org\drools\core\base\ClassFieldAccessorCache.java,org.drools.core.base.ClassFieldAccessorCache,drools-core\src\main\java\org\drools\core\base\ClassFieldAccessorCache.java,org.drools.core.base.ClassFieldWriter,drools-core\src\main\java\org\drools\core\base\ClassFieldWriter.java
org.drools.core.impl.KnowledgeBaseImpl.internalInitSession,drools-core\src\main\java\org\drools\core\impl\KnowledgeBaseImpl.java,org.drools.core.impl.KnowledgeBaseImpl,drools-core\src\main\java\org\drools\core\impl\KnowledgeBaseImpl.java,org.drools.core.SessionConfiguration,drools-core\src\main\java\org\drools\core\SessionConfiguration.java
org.drools.core.impl.KnowledgeBaseImpl.internalInitSession,drools-core\src\main\java\org\drools\core\impl\KnowledgeBaseImpl.java,org.drools.core.impl.KnowledgeBaseImpl,drools-core\src\main\java\org\drools\core\impl\KnowledgeBaseImpl.java,org.drools.core.impl.StatefulKnowledgeSessionImpl,drools-core\src\main\java\org\drools\core\impl\StatefulKnowledgeSessionImpl.java
org.drools.core.impl.KnowledgeBaseImpl.updateDependentTypes,drools-core\src\main\java\org\drools\core\impl\KnowledgeBaseImpl.java,org.drools.core.impl.KnowledgeBaseImpl,drools-core\src\main\java\org\drools\core\impl\KnowledgeBaseImpl.java,org.drools.core.rule.TypeDeclaration,drools-core\src\main\java\org\drools\core\rule\TypeDeclaration.java
org.drools.core.impl.StatefulKnowledgeSessionImpl.initInitialFact,drools-core\src\main\java\org\drools\core\impl\StatefulKnowledgeSessionImpl.java,org.drools.core.impl.StatefulKnowledgeSessionImpl,drools-core\src\main\java\org\drools\core\impl\StatefulKnowledgeSessionImpl.java,org.drools.core.rule.EntryPointId,drools-core\src\main\java\org\drools\core\rule\EntryPointId.java
org.drools.core.impl.StatefulKnowledgeSessionImpl.initInitialFact,drools-core\src\main\java\org\drools\core\impl\StatefulKnowledgeSessionImpl.java,org.drools.core.impl.StatefulKnowledgeSessionImpl,drools-core\src\main\java\org\drools\core\impl\StatefulKnowledgeSessionImpl.java,org.drools.core.marshalling.impl.MarshallerReaderContext,drools-core\src\main\java\org\drools\core\marshalling\impl\MarshallerReaderContext.java
org.drools.core.rule.Collect.determineResultClassName,drools-core\src\main\java\org\drools\core\rule\Collect.java,org.drools.core.rule.Collect,drools-core\src\main\java\org\drools\core\rule\Collect.java,org.drools.core.base.ClassObjectType,drools-core\src\main\java\org\drools\core\base\ClassObjectType.java
org.drools.core.rule.Pattern.setConstraintType,drools-core\src\main\java\org\drools\core\rule\Pattern.java,org.drools.core.rule.Pattern,drools-core\src\main\java\org\drools\core\rule\Pattern.java,org.drools.core.rule.MutableTypeConstraint,drools-core\src\main\java\org\drools\core\rule\MutableTypeConstraint.java
org.drools.core.rule.EvalCondition.replaceDeclaration,drools-core\src\main\java\org\drools\core\rule\EvalCondition.java,org.drools.core.rule.EvalCondition,drools-core\src\main\java\org\drools\core\rule\EvalCondition.java,org.drools.core.rule.Declaration,drools-core\src\main\java\org\drools\core\rule\Declaration.java
org.drools.core.rule.LogicTransformer.splitOr,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.rule.LogicTransformer,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.rule.GroupElement,drools-core\src\main\java\org\drools\core\rule\GroupElement.java
org.drools.core.rule.LogicTransformer.replaceDeclarations,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.rule.LogicTransformer,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.spi.DeclarationScopeResolver,drools-core\src\main\java\org\drools\core\spi\DeclarationScopeResolver.java
org.drools.core.rule.LogicTransformer.replaceDeclarations,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.rule.LogicTransformer,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.rule.Pattern,drools-core\src\main\java\org\drools\core\rule\Pattern.java
org.drools.core.rule.LogicTransformer.replaceDeclarations,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.rule.LogicTransformer,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.spi.DeclarationScopeResolver,drools-core\src\main\java\org\drools\core\spi\DeclarationScopeResolver.java
org.drools.core.rule.LogicTransformer.replaceDeclarations,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.rule.LogicTransformer,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.rule.Accumulate,drools-core\src\main\java\org\drools\core\rule\Accumulate.java
org.drools.core.rule.LogicTransformer.processEvalCondition,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.rule.LogicTransformer,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.spi.DeclarationScopeResolver,drools-core\src\main\java\org\drools\core\spi\DeclarationScopeResolver.java
org.drools.core.rule.LogicTransformer.processEvalCondition,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.rule.LogicTransformer,drools-core\src\main\java\org\drools\core\rule\LogicTransformer.java,org.drools.core.rule.EvalCondition,drools-core\src\main\java\org\drools\core\rule\EvalCondition.java
org.drools.core.rule.SlidingTimeWindow.isExpired,drools-core\src\main\java\org\drools\core\rule\SlidingTimeWindow.java,org.drools.core.rule.SlidingTimeWindow,drools-core\src\main\java\org\drools\core\rule\SlidingTimeWindow.java,org.drools.core.common.EventFactHandle,drools-core\src\main\java\org\drools\core\common\EventFactHandle.java
org.drools.core.rule.JavaDialectRuntimeData.sign,drools-core\src\main\java\org\drools\core\rule\JavaDialectRuntimeData.java,org.drools.core.rule.JavaDialectRuntimeData,drools-core\src\main\java\org\drools\core\rule\JavaDialectRuntimeData.java,org.drools.core.util.KeyStoreHelper,drools-core\src\main\java\org\drools\core\util\KeyStoreHelper.java
org.drools.core.rule.JavaDialectRuntimeData.checkSignature,drools-core\src\main\java\org\drools\core\rule\JavaDialectRuntimeData.java,org.drools.core.rule.JavaDialectRuntimeData,drools-core\src\main\java\org\drools\core\rule\JavaDialectRuntimeData.java,org.drools.core.util.KeyStoreHelper,drools-core\src\main\java\org\drools\core\util\KeyStoreHelper.java
org.drools.core.rule.JavaDialectRuntimeData.removeClasses,drools-core\src\main\java\org\drools\core\rule\JavaDialectRuntimeData.java,org.drools.core.rule.JavaDialectRuntimeData,drools-core\src\main\java\org\drools\core\rule\JavaDialectRuntimeData.java,org.drools.core.rule.Pattern,drools-core\src\main\java\org\drools\core\rule\Pattern.java
org.drools.core.time.impl.CronTrigger.setCronExpression,drools-core\src\main\java\org\drools\core\time\impl\CronTrigger.java,org.drools.core.time.impl.CronTrigger,drools-core\src\main\java\org\drools\core\time\impl\CronTrigger.java,org.drools.core.time.impl.CronExpression,drools-core\src\main\java\org\drools\core\time\impl\CronExpression.java
org.drools.core.time.TemporalDependencyMatrix.getExpirationOffset,drools-core\src\main\java\org\drools\core\time\TemporalDependencyMatrix.java,org.drools.core.time.TemporalDependencyMatrix,drools-core\src\main\java\org\drools\core\time\TemporalDependencyMatrix.java,org.drools.core.rule.Pattern,drools-core\src\main\java\org\drools\core\rule\Pattern.java
org.drools.core.util.index.TupleIndexHashTable.matches,drools-core\src\main\java\org\drools\core\util\index\TupleIndexHashTable.java,org.drools.core.util.index.TupleIndexHashTable,drools-core\src\main\java\org\drools\core\util\index\TupleIndexHashTable.java,org.drools.core.util.index.TupleList,drools-core\src\main\java\org\drools\core\util\index\TupleList.java
org.drools.core.util.index.TupleIndexHashTable.matches,drools-core\src\main\java\org\drools\core\util\index\TupleIndexHashTable.java,org.drools.core.util.index.TupleIndexHashTable,drools-core\src\main\java\org\drools\core\util\index\TupleIndexHashTable.java,org.drools.core.util.index.TupleList,drools-core\src\main\java\org\drools\core\util\index\TupleList.java
org.drools.core.common.NamedEntryPoint.deleteFromTMS,drools-core\src\main\java\org\drools\core\common\NamedEntryPoint.java,org.drools.core.common.NamedEntryPoint,drools-core\src\main\java\org\drools\core\common\NamedEntryPoint.java,org.drools.core.common.EqualityKey,drools-core\src\main\java\org\drools\core\common\EqualityKey.java
org.drools.core.common.NamedEntryPoint.deleteLogical,drools-core\src\main\java\org\drools\core\common\NamedEntryPoint.java,org.drools.core.common.NamedEntryPoint,drools-core\src\main\java\org\drools\core\common\NamedEntryPoint.java,org.drools.core.common.EqualityKey,drools-core\src\main\java\org\drools\core\common\EqualityKey.java
org.drools.core.common.TruthMaintenanceSystem.get,drools-core\src\main\java\org\drools\core\common\TruthMaintenanceSystem.java,org.drools.core.common.TruthMaintenanceSystem,drools-core\src\main\java\org\drools\core\common\TruthMaintenanceSystem.java,org.drools.core.common.EqualityKey,drools-core\src\main\java\org\drools\core\common\EqualityKey.java
org.drools.core.common.TruthMaintenanceSystem.remove,drools-core\src\main\java\org\drools\core\common\TruthMaintenanceSystem.java,org.drools.core.common.TruthMaintenanceSystem,drools-core\src\main\java\org\drools\core\common\TruthMaintenanceSystem.java,org.drools.core.common.EqualityKey,drools-core\src\main\java\org\drools\core\common\EqualityKey.java
org.drools.core.common.TruthMaintenanceSystem.addLogicalDependency,drools-core\src\main\java\org\drools\core\common\TruthMaintenanceSystem.java,org.drools.core.common.TruthMaintenanceSystem,drools-core\src\main\java\org\drools\core\common\TruthMaintenanceSystem.java,org.drools.core.definitions.rule.impl.RuleImpl,drools-core\src\main\java\org\drools\core\definitions\rule\impl\RuleImpl.java
org.drools.core.phreak.RuleExecutor.cancelAndContinue,drools-core\src\main\java\org\drools\core\phreak\RuleExecutor.java,org.drools.core.phreak.RuleExecutor,drools-core\src\main\java\org\drools\core\phreak\RuleExecutor.java,org.drools.core.reteoo.RuleTerminalNode,drools-core\src\main\java\org\drools\core\reteoo\RuleTerminalNode.java
org.drools.core.phreak.RuleExecutor.cancelAndContinue,drools-core\src\main\java\org\drools\core\phreak\RuleExecutor.java,org.drools.core.phreak.RuleExecutor,drools-core\src\main\java\org\drools\core\phreak\RuleExecutor.java,org.drools.core.definitions.rule.impl.RuleImpl,drools-core\src\main\java\org\drools\core\definitions\rule\impl\RuleImpl.java
org.drools.core.phreak.RuleExecutor.isHigherSalience,drools-core\src\main\java\org\drools\core\phreak\RuleExecutor.java,org.drools.core.phreak.RuleExecutor,drools-core\src\main\java\org\drools\core\phreak\RuleExecutor.java,org.drools.core.phreak.RuleAgendaItem,drools-core\src\main\java\org\drools\core\phreak\RuleAgendaItem.java
